Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
01247,,Open,40,40,INTRODUCTION TO DATABASE [H],H,-,Theory,Sunday,3:00 PM,5:00 PM,9201,FACULTY OF SCIENCE & TECHNOLOGY
01247,,Open,40,40,INTRODUCTION TO DATABASE [H],H,-,Lab,Tuesday,3:00 PM,5:20 PM,DS0108,FACULTY OF SCIENCE & TECHNOLOGY
01248,,Open,40,40,INTRODUCTION TO DATABASE [I],I,-,Theory,Sunday,10:20 AM,12:20 PM,9201,FACULTY OF SCIENCE & TECHNOLOGY
01248,,Open,40,40,INTRODUCTION TO DATABASE [I],I,-,Lab,Tuesday,10:20 AM,12:40 PM,DN0111,FACULTY OF SCIENCE & TECHNOLOGY
01249,,Open,40,40,INTRODUCTION TO DATABASE [J],J,-,Theory,Sunday,12:40 PM,2:40 PM,9201,FACULTY OF SCIENCE & TECHNOLOGY
01249,,Open,40,40,INTRODUCTION TO DATABASE [J],J,-,Lab,Tuesday,12:40 PM,3:00 PM,DS0203,FACULTY OF SCIENCE & TECHNOLOGY
01250,,Open,40,40,INTRODUCTION TO DATABASE [K],K,-,Theory,Tuesday,3:00 PM,5:00 PM,9211,FACULTY OF SCIENCE & TECHNOLOGY
01250,,Open,40,40,INTRODUCTION TO DATABASE [K],K,-,Lab,Sunday,3:00 PM,5:20 PM,DN0112,FACULTY OF SCIENCE & TECHNOLOGY
01251,,Open,40,40,INTRODUCTION TO DATABASE [L],L,-,Theory,Monday,8:00 AM,10:00 AM,9204,FACULTY OF SCIENCE & TECHNOLOGY
01251,,Open,40,40,INTRODUCTION TO DATABASE [L],L,-,Lab,Wednesday,8:00 AM,10:20 AM,DN0112,FACULTY OF SCIENCE & TECHNOLOGY
01252,,Open,40,40,INTRODUCTION TO DATABASE [M],M,-,Theory,Monday,12:40 PM,2:40 PM,9411,FACULTY OF SCIENCE & TECHNOLOGY
01252,,Open,40,40,INTRODUCTION TO DATABASE [M],M,-,Lab,Wednesday,12:40 PM,3:00 PM,DS0206,FACULTY OF SCIENCE & TECHNOLOGY
01253,,Open,40,40,INTRODUCTION TO DATABASE [N],N,-,Theory,Monday,3:00 PM,5:00 PM,9207,FACULTY OF SCIENCE & TECHNOLOGY
01253,,Open,40,40,INTRODUCTION TO DATABASE [N],N,-,Lab,Wednesday,3:00 PM,5:20 PM,DS0203,FACULTY OF SCIENCE & TECHNOLOGY
01254,,Open,40,40,INTRODUCTION TO DATABASE [O],O,-,Theory,Tuesday,10:20 AM,12:20 PM,9206,FACULTY OF SCIENCE & TECHNOLOGY
01254,,Open,40,40,INTRODUCTION TO DATABASE [O],O,-,Lab,Sunday,10:20 AM,12:40 PM,DS0204,FACULTY OF SCIENCE & TECHNOLOGY
01255,,Open,40,40,INTRODUCTION TO DATABASE [P],P,-,Theory,Tuesday,12:40 PM,2:40 PM,9207,FACULTY OF SCIENCE & TECHNOLOGY
01255,,Open,40,40,INTRODUCTION TO DATABASE [P],P,-,Lab,Sunday,12:40 PM,3:00 PM,DS0206,FACULTY OF SCIENCE & TECHNOLOGY
01256,,Reserved,40,3,INTRODUCTION TO DATABASE [Q],Q,-,Theory,Sunday,3:00 PM,5:00 PM,9202,FACULTY OF SCIENCE & TECHNOLOGY
01256,,Reserved,40,3,INTRODUCTION TO DATABASE [Q],Q,-,Lab,Tuesday,3:00 PM,5:20 PM,DN0109,FACULTY OF SCIENCE & TECHNOLOGY
